period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,61448,61448,,,0.0,0.0,0.0,0.0,0.0,0.0,61448.0,61448.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,533.0,533.0,1884.0,1884.0,793.0,793.0,-4290.0,57158.0,-4290.0,-4290.0,,,-7143.0,-7143.0,507.0,507.0,1794.0,1794.0,755.0,755.0,-4086.0,57362.0,-4086.0,-4086.0,1.67,11.49
2,2.0,2.0,13000.0,26000,,,,,533.0,1065.0,1884.0,3768.0,793.0,1586.0,3210.0,60367.0,3210.0,-1081.0,,,,,483.0,990.0,1709.0,3503.0,719.0,1475.0,2911.0,60273.0,2911.0,-1175.0,1.67,13.16
3,3.0,3.0,13000.0,39000,,,,,533.0,1598.0,1884.0,5652.0,793.0,2379.0,3210.0,63577.0,3210.0,2129.0,,,,,460.0,1451.0,1627.0,5131.0,685.0,2160.0,2773.0,63046.0,2773.0,1598.0,1.67,14.84
4,4.0,4.0,13000.0,52000,,,,,533.0,2131.0,1884.0,7536.0,793.0,3172.0,3210.0,66787.0,3210.0,5339.0,,,,,438.0,1889.0,1550.0,6681.0,652.0,2812.0,2641.0,65687.0,2641.0,4239.0,1.67,16.51
5,5.0,5.0,13000.0,65000,,,,,533.0,2663.0,1884.0,9420.0,793.0,3965.0,3210.0,69996.0,3210.0,8548.0,,,,,417.0,2306.0,1476.0,8157.0,621.0,3433.0,2515.0,68201.0,2515.0,6753.0,1.67,18.18
6,6.0,6.0,13000.0,78000,,,,,533.0,3196.0,1884.0,11304.0,793.0,4758.0,3210.0,73206.0,3210.0,11758.0,,,,,397.0,2704.0,1406.0,9563.0,592.0,4025.0,2395.0,70597.0,2395.0,9149.0,1.67,19.85
7,7.0,7.0,13000.0,91000,,,,,533.0,3729.0,1884.0,13188.0,793.0,5551.0,3210.0,76416.0,3210.0,14968.0,,,,,379.0,3082.0,1339.0,10902.0,564.0,4589.0,2281.0,72878.0,2281.0,11430.0,1.67,21.52
8,8.0,8.0,13000.0,104000,,,,,533.0,4261.0,1884.0,15072.0,793.0,6344.0,3210.0,79625.0,3210.0,18177.0,,,,,361.0,3443.0,1275.0,12177.0,537.0,5125.0,2172.0,75050.0,2172.0,13602.0,1.67,23.19
9,9.0,9.0,13000.0,117000,,,,,533.0,4794.0,1884.0,16956.0,793.0,7137.0,3210.0,82835.0,3210.0,21387.0,,,,,343.0,3786.0,1214.0,13391.0,511.0,5637.0,2069.0,77119.0,2069.0,15671.0,1.67,24.86
9.9,9.9,9.9,11700.000000000005,128700,,,,,479.0,5274.0,1696.0,18652.0,714.0,7851.0,2889.0,85724.0,2889.0,24276.0,,,,,296.0,4082.0,1046.0,14437.0,440.0,6077.0,1782.0,78901.0,1782.0,17453.0,1.5,26.37
post-use,9.9,10.89,0.0,128700,0,61448,0,-7500,0.0,5274.0,0.0,18652.0,0.0,7851.0,0.0,85724.0,0.0,24276.0,0,61448,0.0,-7143.0,0.0,4082.0,0.0,14437.0,0.0,6077.0,0.0,78901.0,0.0,17453.0,0.0,26.37
