period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0,-1.3,0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0,51936.0,51936.0,,,0.0,0.0,0,0,0,0,51936.0,51936.0,0.0,0.0,51936.0,51936.0,,,0.0,0.0,0.0,0.0,0.0,0.0,51936.0,51936.0,0.0,0.0,5.47,5.47
1,1,1.0,13000,13000,,,,,1321.0,1321.0,1788,1788,1313,1313,4422.0,56359.0,4422.0,4422.0,,,,,1258.0,1258.0,1703.0,1703.0,1250.0,1250.0,4212.0,56148.0,4212.0,4212.0,3.66,9.13
2,2,2.0,13000,26000,,,,,1321.0,2643.0,1788,3576,1313,2626,4422.0,60781.0,4422.0,8845.0,,,,,1198.0,2457.0,1622.0,3325.0,1191.0,2441.0,4011.0,60159.0,4011.0,8223.0,3.66,12.79
3,3,3.0,13000,39000,,,,,1321.0,3964.0,1788,5364,1313,3939,4422.0,65203.0,4422.0,13267.0,,,,,1141.0,3598.0,1545.0,4869.0,1134.0,3576.0,3820.0,63979.0,3820.0,12043.0,3.66,16.45
4,4,4.0,13000,52000,,,,,1321.0,5285.0,1788,7152,1313,5252,4422.0,69626.0,4422.0,17689.0,,,,,1087.0,4685.0,1471.0,6340.0,1080.0,4656.0,3638.0,67618.0,3638.0,15681.0,3.66,20.12
5,5,5.0,13000,65000,,,,,1321.0,6606.0,1788,8940,1313,6565,4422.0,74048.0,4422.0,22111.0,,,,,1035.0,5720.0,1401.0,7741.0,1029.0,5685.0,3465.0,71083.0,3465.0,19146.0,3.66,23.78
6,6,6.0,13000,78000,,,,,1321.0,7928.0,1788,10728,1313,7878,4422.0,78470.0,4422.0,26534.0,,,,,986.0,6706.0,1334.0,9075.0,980.0,6664.0,3300.0,74383.0,3300.0,22446.0,3.66,27.44
7,7,7.0,13000,91000,,,,,1321.0,9249.0,1788,12516,1313,9191,4422.0,82892.0,4422.0,30956.0,,,,,939.0,7645.0,1271.0,10346.0,933.0,7598.0,3143.0,77525.0,3143.0,25589.0,3.66,31.1
8,8,8.0,13000,104000,,,,,1321.0,10570.0,1788,14304,1313,10504,4422.0,87315.0,4422.0,35378.0,,,,,894.0,8540.0,1210.0,11556.0,889.0,8486.0,2993.0,80519.0,2993.0,28582.0,3.66,34.76
9,9,9.0,13000,117000,,,,,1321.0,11891.0,1788,16092,1313,11817,4422.0,91737.0,4422.0,39800.0,,,,,852.0,9391.0,1153.0,12709.0,846.0,9333.0,2851.0,83369.0,2851.0,31433.0,3.66,38.42
10,10,10.0,13000,130000,,,,,1321.0,13213.0,1788,17880,1313,13130,4422.0,96159.0,4422.0,44223.0,,,,,811.0,10203.0,1098.0,13806.0,806.0,10139.0,2715.0,86084.0,2715.0,34148.0,3.66,42.08
11,11,11.0,13000,143000,,,,,1321.0,14534.0,1788,19668,1313,14443,4422.0,100581.0,4422.0,48645.0,,,,,773.0,10975.0,1045.0,14852.0,768.0,10906.0,2586.0,88670.0,2586.0,36733.0,3.66,45.74
12,12,12.0,13000,156000,,,,,1321.0,15855.0,1788,21456,1313,15756,4422.0,105004.0,4422.0,53067.0,,,,,736.0,11711.0,996.0,15847.0,731.0,11637.0,2462.0,91132.0,2462.0,39196.0,3.66,49.41
13,13,13.0,13000,169000,,,,,1321.0,17177.0,1788,23244,1313,17069,4422.0,109426.0,4422.0,57490.0,,,,,701.0,12411.0,948.0,16796.0,696.0,12334.0,2345.0,93477.0,2345.0,41541.0,3.66,53.07
post-use,13,14.3,0,169000,0.0,51936.0,0,0,0.0,17177.0,0,23244,0,17069,0.0,109426.0,0.0,57490.0,0.0,51936.0,0,0,0.0,12411.0,0.0,16796.0,0.0,12334.0,0.0,93477.0,0.0,41541.0,0.0,53.07
