period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,50106,50106,,,0.0,0.0,0.0,0.0,0.0,0.0,50106.0,50106.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,2682.0,2682.0,1788.0,1788.0,1313.0,1313.0,5783.0,55889.0,5783.0,5783.0,,,,,2554.0,2554.0,1703.0,1703.0,1250.0,1250.0,5507.0,55613.0,5507.0,5507.0,4.37,9.84
2,2.0,2.0,13000.0,26000,,,,,2682.0,5363.0,1788.0,3576.0,1313.0,2626.0,5783.0,61671.0,5783.0,11565.0,,,,,2432.0,4986.0,1622.0,3325.0,1191.0,2441.0,5245.0,60858.0,5245.0,10752.0,4.37,14.21
3,3.0,3.0,13000.0,39000,,,,,2682.0,8045.0,1788.0,5364.0,1313.0,3939.0,5783.0,67454.0,5783.0,17348.0,,,,,2317.0,7303.0,1545.0,4869.0,1134.0,3576.0,4995.0,65854.0,4995.0,15748.0,4.37,18.58
4,4.0,4.0,13000.0,52000,,,,,2682.0,10727.0,1788.0,7152.0,1313.0,5252.0,5783.0,73237.0,5783.0,23131.0,,,,,2206.0,9509.0,1471.0,6340.0,1080.0,4656.0,4757.0,70611.0,4757.0,20505.0,4.37,22.95
5,5.0,5.0,13000.0,65000,,,,,2682.0,13409.0,1788.0,8940.0,1313.0,6565.0,5783.0,79020.0,5783.0,28914.0,,,,,2101.0,11611.0,1401.0,7741.0,1029.0,5685.0,4531.0,75142.0,4531.0,25036.0,4.37,27.32
6,6.0,6.0,13000.0,78000,,,,,2682.0,16090.0,1788.0,10728.0,1313.0,7878.0,5783.0,84802.0,5783.0,34696.0,,,,,2001.0,13612.0,1334.0,9075.0,980.0,6664.0,4315.0,79457.0,4315.0,29351.0,4.37,31.69
7,7.0,7.0,13000.0,91000,,,,,2682.0,18772.0,1788.0,12516.0,1313.0,9191.0,5783.0,90585.0,5783.0,40479.0,,,,,1906.0,15518.0,1271.0,10346.0,933.0,7598.0,4110.0,83567.0,4110.0,33461.0,4.37,36.06
8,8.0,8.0,13000.0,104000,,,,,2682.0,21454.0,1788.0,14304.0,1313.0,10504.0,5783.0,96368.0,5783.0,46262.0,,,,,1815.0,17333.0,1210.0,11556.0,889.0,8486.0,3914.0,87481.0,3914.0,37375.0,4.37,40.43
9,9.0,9.0,13000.0,117000,,,,,2682.0,24136.0,1788.0,16092.0,1313.0,11817.0,5783.0,102151.0,5783.0,52045.0,,,,,1729.0,19061.0,1153.0,12709.0,846.0,9333.0,3728.0,91209.0,3728.0,41103.0,4.37,44.8
9.9,9.9,9.9,11700.000000000005,128700,,,,,2414.0,26549.0,1609.0,17701.0,1182.0,12999.0,5204.0,107355.0,5204.0,57249.0,,,,,1489.0,20550.0,993.0,13702.0,729.0,10062.0,3211.0,94419.0,3211.0,44313.0,3.93,48.73
post-use,9.9,10.89,0.0,128700,0,50106,0,0,0.0,26549.0,0.0,17701.0,0.0,12999.0,0.0,107355.0,0.0,57249.0,0,50106,0,0,0.0,20550.0,0.0,13702.0,0.0,10062.0,0.0,94419.0,0.0,44313.0,0.0,48.73
