period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-1.07,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,2028.0,2028.0,1788.0,1788.0,1313.0,1313.0,5129.0,79049.0,5129.0,5129.0,,,,,1931.0,1931.0,1703.0,1703.0,1250.0,1250.0,4884.0,78804.0,4884.0,4884.0,4.8,10.27
2,2.0,2.0,13000.0,26000,,,,,2028.0,4055.0,1788.0,3576.0,1313.0,2626.0,5129.0,84177.0,5129.0,10257.0,,,,,1839.0,3770.0,1622.0,3325.0,1191.0,2441.0,4652.0,83456.0,4652.0,9536.0,4.8,15.08
3,3.0,3.0,13000.0,39000,,,,,2028.0,6083.0,1788.0,5364.0,1313.0,3939.0,5129.0,89306.0,5129.0,15386.0,,,,,1752.0,5522.0,1545.0,4869.0,1134.0,3576.0,4430.0,87887.0,4430.0,13967.0,4.8,19.88
4,4.0,4.0,13000.0,52000,,,,,2028.0,8111.0,1788.0,7152.0,1313.0,5252.0,5129.0,94435.0,5129.0,20515.0,,,,,1668.0,7190.0,1471.0,6340.0,1080.0,4656.0,4219.0,92106.0,4219.0,18186.0,4.8,24.69
5,5.0,5.0,13000.0,65000,,,,,2028.0,10139.0,1788.0,8940.0,1313.0,6565.0,5129.0,99564.0,5129.0,25644.0,,,,,1589.0,8779.0,1401.0,7741.0,1029.0,5685.0,4018.0,96125.0,4018.0,22205.0,4.8,29.49
6,6.0,6.0,13000.0,78000,,,,,2028.0,12166.0,1788.0,10728.0,1313.0,7878.0,5129.0,104692.0,5129.0,30772.0,,,,,1513.0,10292.0,1334.0,9075.0,980.0,6664.0,3827.0,99952.0,3827.0,26032.0,4.8,34.3
7,7.0,7.0,13000.0,91000,,,,,2028.0,14194.0,1788.0,12516.0,1313.0,9191.0,5129.0,109821.0,5129.0,35901.0,,,,,1441.0,11733.0,1271.0,10346.0,933.0,7598.0,3645.0,103597.0,3645.0,29677.0,4.8,39.1
8,8.0,8.0,13000.0,104000,,,,,2028.0,16222.0,1788.0,14304.0,1313.0,10504.0,5129.0,114950.0,5129.0,41030.0,,,,,1372.0,13106.0,1210.0,11556.0,889.0,8486.0,3471.0,107068.0,3471.0,33148.0,4.8,43.91
9,9.0,9.0,13000.0,117000,,,,,2028.0,18249.0,1788.0,16092.0,1313.0,11817.0,5129.0,120078.0,5129.0,46158.0,,,,,1307.0,14413.0,1153.0,12709.0,846.0,9333.0,3306.0,110374.0,3306.0,36454.0,4.8,48.71
10,10.0,10.0,13000.0,130000,,,,,2028.0,20277.0,1788.0,17880.0,1313.0,13130.0,5129.0,125207.0,5129.0,51287.0,,,,,1245.0,15657.0,1098.0,13806.0,806.0,10139.0,3149.0,113523.0,3149.0,39603.0,4.8,53.52
10.7,10.7,10.7,9099.99999999999,139100,,,,,1419.0,21696.0,1252.0,19132.0,919.0,14049.0,3590.0,128797.0,3590.0,54877.0,,,,,842.0,16500.0,743.0,14549.0,545.0,10684.0,2130.0,115653.0,2130.0,41733.0,3.36,56.88
post-use,10.7,11.77,0.0,139100,0,73920,0,0,0.0,21696.0,0.0,19132.0,0.0,14049.0,0.0,128797.0,0.0,54877.0,0,73920,0,0,0.0,16500.0,0.0,14549.0,0.0,10684.0,0.0,115653.0,0.0,41733.0,0.0,56.88
