period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.8900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,72000,72000,,,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,72000.0,0.0,0.0,9.82,9.82
1,1.0,1.0,13000.0,13000,,,-7500,-7500,592.0,592.0,1884.0,1884.0,793.0,793.0,-4232.0,67768.0,-4232.0,-4232.0,,,-7143.0,-7143.0,563.0,563.0,1794.0,1794.0,755.0,755.0,-4030.0,67970.0,-4030.0,-4030.0,0.55,10.37
2,2.0,2.0,13000.0,26000,,,,,592.0,1183.0,1884.0,3768.0,793.0,1586.0,3268.0,71037.0,3268.0,-963.0,,,,,537.0,1100.0,1709.0,3503.0,719.0,1475.0,2965.0,70935.0,2965.0,-1065.0,0.55,10.91
3,3.0,3.0,13000.0,39000,,,,,592.0,1775.0,1884.0,5652.0,793.0,2379.0,3268.0,74306.0,3268.0,2306.0,,,,,511.0,1611.0,1627.0,5131.0,685.0,2160.0,2823.0,73758.0,2823.0,1758.0,0.55,11.46
4,4.0,4.0,13000.0,52000,,,,,592.0,2366.0,1884.0,7536.0,793.0,3172.0,3268.0,77574.0,3268.0,5574.0,,,,,487.0,2097.0,1550.0,6681.0,652.0,2812.0,2689.0,76447.0,2689.0,4447.0,0.55,12.01
5,5.0,5.0,13000.0,65000,,,,,592.0,2958.0,1884.0,9420.0,793.0,3965.0,3268.0,80842.0,3268.0,8842.0,,,,,463.0,2561.0,1476.0,8157.0,621.0,3433.0,2561.0,79008.0,2561.0,7008.0,0.55,12.55
6,6.0,6.0,13000.0,78000,,,,,592.0,3549.0,1884.0,11304.0,793.0,4758.0,3268.0,84111.0,3268.0,12111.0,,,,,441.0,3002.0,1406.0,9563.0,592.0,4025.0,2439.0,81447.0,2439.0,9447.0,0.55,13.1
7,7.0,7.0,13000.0,91000,,,,,592.0,4141.0,1884.0,13188.0,793.0,5551.0,3268.0,87380.0,3268.0,15380.0,,,,,420.0,3423.0,1339.0,10902.0,564.0,4589.0,2323.0,83770.0,2323.0,11770.0,0.55,13.64
8,8.0,8.0,13000.0,104000,,,,,592.0,4732.0,1884.0,15072.0,793.0,6344.0,3268.0,90648.0,3268.0,18648.0,,,,,400.0,3823.0,1275.0,12177.0,537.0,5125.0,2212.0,85982.0,2212.0,13982.0,0.55,14.19
8.9,8.9,8.9,11700.000000000005,115700,,,,,532.0,5264.0,1696.0,16768.0,714.0,7058.0,2942.0,93590.0,2942.0,21590.0,,,,,345.0,4168.0,1098.0,13275.0,462.0,5588.0,1905.0,87888.0,1905.0,15888.0,0.49,14.68
post-use,8.9,9.790000000000001,0.0,115700,0,72000,0,-7500,0.0,5264.0,0.0,16768.0,0.0,7058.0,0.0,93590.0,0.0,21590.0,0,72000,0.0,-7143.0,0.0,4168.0,0.0,13275.0,0.0,5588.0,0.0,87888.0,0.0,15888.0,0.0,14.68
