period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,73920,73920,,,0.0,0.0,0.0,0.0,0.0,0.0,73920.0,73920.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,2524.0,2524.0,1788.0,1788.0,1313.0,1313.0,5625.0,79545.0,5625.0,5625.0,,,,,2404.0,2404.0,1703.0,1703.0,1250.0,1250.0,5357.0,79277.0,5357.0,5357.0,4.8,10.27
2,2.0,2.0,13000.0,26000,,,,,2524.0,5048.0,1788.0,3576.0,1313.0,2626.0,5625.0,85170.0,5625.0,11250.0,,,,,2289.0,4693.0,1622.0,3325.0,1191.0,2441.0,5102.0,84379.0,5102.0,10459.0,4.8,15.08
3,3.0,3.0,13000.0,39000,,,,,2524.0,7572.0,1788.0,5364.0,1313.0,3939.0,5625.0,90795.0,5625.0,16875.0,,,,,2180.0,6873.0,1545.0,4869.0,1134.0,3576.0,4859.0,89238.0,4859.0,15318.0,4.8,19.88
4,4.0,4.0,13000.0,52000,,,,,2524.0,10096.0,1788.0,7152.0,1313.0,5252.0,5625.0,96420.0,5625.0,22500.0,,,,,2076.0,8950.0,1471.0,6340.0,1080.0,4656.0,4628.0,93866.0,4628.0,19946.0,4.8,24.69
5,5.0,5.0,13000.0,65000,,,,,2524.0,12620.0,1788.0,8940.0,1313.0,6565.0,5625.0,102045.0,5625.0,28125.0,,,,,1978.0,10927.0,1401.0,7741.0,1029.0,5685.0,4407.0,98273.0,4407.0,24353.0,4.8,29.49
6,6.0,6.0,13000.0,78000,,,,,2524.0,15144.0,1788.0,10728.0,1313.0,7878.0,5625.0,107670.0,5625.0,33750.0,,,,,1883.0,12811.0,1334.0,9075.0,980.0,6664.0,4197.0,102470.0,4197.0,28550.0,4.8,34.3
7,7.0,7.0,13000.0,91000,,,,,2524.0,17668.0,1788.0,12516.0,1313.0,9191.0,5625.0,113295.0,5625.0,39375.0,,,,,1794.0,14604.0,1271.0,10346.0,933.0,7598.0,3998.0,106468.0,3998.0,32548.0,4.8,39.1
8,8.0,8.0,13000.0,104000,,,,,2524.0,20192.0,1788.0,14304.0,1313.0,10504.0,5625.0,118920.0,5625.0,45000.0,,,,,1708.0,16313.0,1210.0,11556.0,889.0,8486.0,3807.0,110275.0,3807.0,36355.0,4.8,43.91
9,9.0,9.0,13000.0,117000,,,,,2524.0,22715.0,1788.0,16092.0,1313.0,11817.0,5625.0,124544.0,5625.0,50624.0,,,,,1627.0,17940.0,1153.0,12709.0,846.0,9333.0,3626.0,113901.0,3626.0,39981.0,4.8,48.71
9.9,9.9,9.9,11700.000000000005,128700,,,,,2272.0,24987.0,1609.0,17701.0,1182.0,12999.0,5062.0,129607.0,5062.0,55687.0,,,,,1401.0,19341.0,993.0,13702.0,729.0,10062.0,3123.0,117024.0,3123.0,43104.0,4.32,53.04
post-use,9.9,10.89,0.0,128700,0,73920,0,0,0.0,24987.0,0.0,17701.0,0.0,12999.0,0.0,129607.0,0.0,55687.0,0,73920,0,0,0.0,19341.0,0.0,13702.0,0.0,10062.0,0.0,117024.0,0.0,43104.0,0.0,53.04
