period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,47196.0,47196.0,,,0.0,0.0,0.0,0.0,0.0,0.0,47196.0,47196.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,1460.0,1460.0,1788.0,1788.0,1313.0,1313.0,4561.0,51756.0,4561.0,4561.0,,,,,1390.0,1390.0,1703.0,1703.0,1250.0,1250.0,4344.0,51539.0,4344.0,4344.0,3.6,9.07
2,2.0,2.0,13000.0,26000,,,,,1460.0,2919.0,1788.0,3576.0,1313.0,2626.0,4561.0,56317.0,4561.0,9121.0,,,,,1324.0,2714.0,1622.0,3325.0,1191.0,2441.0,4137.0,55676.0,4137.0,8480.0,3.6,12.67
3,3.0,3.0,13000.0,39000,,,,,1460.0,4379.0,1788.0,5364.0,1313.0,3939.0,4561.0,60878.0,4561.0,13682.0,,,,,1261.0,3975.0,1545.0,4869.0,1134.0,3576.0,3940.0,59615.0,3940.0,12420.0,3.6,16.27
4,4.0,4.0,13000.0,52000,,,,,1460.0,5839.0,1788.0,7152.0,1313.0,5252.0,4561.0,65438.0,4561.0,18243.0,,,,,1201.0,5176.0,1471.0,6340.0,1080.0,4656.0,3752.0,63367.0,3752.0,16172.0,3.6,19.87
5,5.0,5.0,13000.0,65000,,,,,1460.0,7298.0,1788.0,8940.0,1313.0,6565.0,4561.0,69999.0,4561.0,22803.0,,,,,1144.0,6320.0,1401.0,7741.0,1029.0,5685.0,3573.0,66941.0,3573.0,19745.0,3.6,23.47
6,6.0,6.0,13000.0,78000,,,,,1460.0,8758.0,1788.0,10728.0,1313.0,7878.0,4561.0,74560.0,4561.0,27364.0,,,,,1089.0,7409.0,1334.0,9075.0,980.0,6664.0,3403.0,70344.0,3403.0,23149.0,3.6,27.07
7,7.0,7.0,13000.0,91000,,,,,1460.0,10218.0,1788.0,12516.0,1313.0,9191.0,4561.0,79120.0,4561.0,31925.0,,,,,1037.0,8446.0,1271.0,10346.0,933.0,7598.0,3241.0,73585.0,3241.0,26390.0,3.6,30.66
8,8.0,8.0,13000.0,104000,,,,,1460.0,11678.0,1788.0,14304.0,1313.0,10504.0,4561.0,83681.0,4561.0,36486.0,,,,,988.0,9434.0,1210.0,11556.0,889.0,8486.0,3087.0,76672.0,3087.0,29477.0,3.6,34.26
9,9.0,9.0,13000.0,117000,,,,,1460.0,13137.0,1788.0,16092.0,1313.0,11817.0,4561.0,88242.0,4561.0,41046.0,,,,,941.0,10375.0,1153.0,12709.0,846.0,9333.0,2940.0,79612.0,2940.0,32417.0,3.6,37.86
9.9,9.9,9.9,11700.000000000005,128700,,,,,1314.0,14451.0,1609.0,17701.0,1182.0,12999.0,4105.0,92346.0,4105.0,45151.0,,,,,810.0,11186.0,993.0,13702.0,729.0,10062.0,2532.0,82144.0,2532.0,34949.0,3.24,41.1
post-use,9.9,10.89,0.0,128700,0.0,47196.0,0,0,0.0,14451.0,0.0,17701.0,0.0,12999.0,0.0,92346.0,0.0,45151.0,0.0,47196.0,0,0,0.0,11186.0,0.0,13702.0,0.0,10062.0,0.0,82144.0,0.0,34949.0,0.0,41.1
