period [yr],time [yr],time (for plotting) [yr],mileage [mi],total mileage [mi],purchase costs [$],total purchase costs [$],incentives costs [$],total incentives costs [$],operations costs [$],total operations costs [$],insurance costs [$],total insurance costs [$],maintenance costs [$],total maintenance costs [$],costs [$],total costs [$],future costs [$],total future costs [$],present value purchase costs [$],total present value purchase costs [$],present value incentives costs [$],total present value incentives costs [$],present value operations costs [$],total present value operations costs [$],present value insurance costs [$],total present value insurance costs [$],present value maintenance costs [$],total present value maintenance costs [$],present value costs [$],total present value costs [$],present value future costs [$],total present value future costs [$],emissions [tCO$_2$-eq.],total emissions [tCO$_2$-eq.]
pre-purchase,0.0,-0.9900000000000001,0.0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,48180,48180,,,0.0,0.0,0.0,0.0,0.0,0.0,48180.0,48180.0,0.0,0.0,5.47,5.47
1,1.0,1.0,13000.0,13000,,,,,2390.0,2390.0,1788.0,1788.0,1313.0,1313.0,5491.0,53671.0,5491.0,5491.0,,,,,2276.0,2276.0,1703.0,1703.0,1250.0,1250.0,5230.0,53410.0,5230.0,5230.0,4.53,10.0
2,2.0,2.0,13000.0,26000,,,,,2390.0,4780.0,1788.0,3576.0,1313.0,2626.0,5491.0,59162.0,5491.0,10982.0,,,,,2168.0,4444.0,1622.0,3325.0,1191.0,2441.0,4981.0,58390.0,4981.0,10210.0,4.53,14.52
3,3.0,3.0,13000.0,39000,,,,,2390.0,7170.0,1788.0,5364.0,1313.0,3939.0,5491.0,64653.0,5491.0,16473.0,,,,,2065.0,6509.0,1545.0,4869.0,1134.0,3576.0,4743.0,63134.0,4743.0,14954.0,4.53,19.05
4,4.0,4.0,13000.0,52000,,,,,2390.0,9561.0,1788.0,7152.0,1313.0,5252.0,5491.0,70145.0,5491.0,21965.0,,,,,1966.0,8475.0,1471.0,6340.0,1080.0,4656.0,4518.0,67651.0,4518.0,19471.0,4.53,23.58
5,5.0,5.0,13000.0,65000,,,,,2390.0,11951.0,1788.0,8940.0,1313.0,6565.0,5491.0,75636.0,5491.0,27456.0,,,,,1873.0,10348.0,1401.0,7741.0,1029.0,5685.0,4302.0,71954.0,4302.0,23774.0,4.53,28.11
6,6.0,6.0,13000.0,78000,,,,,2390.0,14341.0,1788.0,10728.0,1313.0,7878.0,5491.0,81127.0,5491.0,32947.0,,,,,1784.0,12132.0,1334.0,9075.0,980.0,6664.0,4098.0,76051.0,4098.0,27871.0,4.53,32.63
7,7.0,7.0,13000.0,91000,,,,,2390.0,16731.0,1788.0,12516.0,1313.0,9191.0,5491.0,86618.0,5491.0,38438.0,,,,,1699.0,13830.0,1271.0,10346.0,933.0,7598.0,3902.0,79954.0,3902.0,31774.0,4.53,37.16
8,8.0,8.0,13000.0,104000,,,,,2390.0,19121.0,1788.0,14304.0,1313.0,10504.0,5491.0,92109.0,5491.0,43929.0,,,,,1618.0,15448.0,1210.0,11556.0,889.0,8486.0,3717.0,83670.0,3717.0,35490.0,4.53,41.69
9,9.0,9.0,13000.0,117000,,,,,2390.0,21511.0,1788.0,16092.0,1313.0,11817.0,5491.0,97600.0,5491.0,49420.0,,,,,1541.0,16989.0,1153.0,12709.0,846.0,9333.0,3540.0,87210.0,3540.0,39030.0,4.53,46.21
9.9,9.9,9.9,11700.000000000005,128700,,,,,2151.0,23662.0,1609.0,17701.0,1182.0,12999.0,4942.0,102542.0,4942.0,54362.0,,,,,1327.0,18316.0,993.0,13702.0,729.0,10062.0,3049.0,90259.0,3049.0,42079.0,4.07,50.29
post-use,9.9,10.89,0.0,128700,0,48180,0,0,0.0,23662.0,0.0,17701.0,0.0,12999.0,0.0,102542.0,0.0,54362.0,0,48180,0,0,0.0,18316.0,0.0,13702.0,0.0,10062.0,0.0,90259.0,0.0,42079.0,0.0,50.29
